Date;S&P;Apple;JP Morgan;BlackRock;Indice_Excel;Rendimiento diario del Indice_Excel
23/12/2020;368,88;130,96;125,07;703,64;339,486;-0,4025%
24/12/2020;370,31;131,97;124,52;707,18;340,858;-0,8713%
28/12/2020;373,53;136,69;125,34;710,18;343,854;0,4376%
29/12/2020;372,81;134,87;125,01;706,28;342,356;-0,1656%
30/12/2020;373,3;133,72;125,36;708,94;342,924;-1,0080%
31/12/2020;375,39;132,69;127,07;721,54;346,416;1,4966%
04/01/2021;370,22;129,41;125,87;710,82;341,308;-0,5849%
05/01/2021;372,67;131,01;125,65;714,58;343,316;-1,5130%
06/01/2021;374,92;126,6;131,55;734,96;348,59;-1,9796%
07/01/2021;380,47;130,92;135,87;750,42;355,63;-0,6509%
08/01/2021;382,64;132,05;136,02;756,45;357,96;-0,2336%
11/01/2021;380,14;128,98;138,05;766,68;358,798;-0,7288%
12/01/2021;380,2;128,8;140,22;777,74;361,432;-0,3392%
13/01/2021;381,16;130,89;140,35;779,75;362,662;2,2586%
14/01/2021;379,84;128,91;141,17;743,5;354,652;1,4602%
15/01/2021;377,1;127,14;138,64;727,76;349,548;-0,6751%
19/01/2021;380,05;127,83;138,04;733,65;351,924;-1,1505%
20/01/2021;385,28;132,03;135,97;741,54;356,02;-0,2823%
21/01/2021;385,62;136,87;134,83;742,2;357,028;0,4847%
22/01/2021;384,31;139,07;133,79;735,05;355,306;0,3859%
25/01/2021;385,84;142,92;132,12;722,98;353,94;0,1454%
26/01/2021;385,27;143,16;131,58;721,85;353,426;2,7730%
27/01/2021;375,87;142,06;127,86;697,79;343,89;-1,4760%
28/01/2021;379,05;137,09;130,11;719,91;349,042;2,3626%
29/01/2021;371,52;131,96;128,67;701,26;340,986;-1,5703%
01/02/2021;377,6;134,14;129,62;713,17;346,426;-1,8078%
02/02/2021;382,96;134,99;133,61;729,5;352,804;0,2466%
03/02/2021;383,26;133,94;135,14;724,08;351,936;-1,3240%
04/02/2021;387,6;137,39;138,25;732,45;356,658;0,2237%
05/02/2021;389,12;136,76;137,98;726,33;355,862;-0,4638%
08/02/2021;392,05;136,91;140,14;726,45;357,52;-0,0129%
09/02/2021;391,72;136,01;139,58;728,8;357,566;0,3643%
10/02/2021;391,56;135,39;139,66;723,17;356,268;0,0601%
11/02/2021;392,22;135,13;139,27;721,43;356,054;-0,4301%
12/02/2021;394,18;135,37;141,25;722,98;357,592;-0,4416%
16/02/2021;393,87;133,19;144,65;730,31;359,178;0,6005%
17/02/2021;393,92;130,84;145,1;721,39;357,034;1,2386%
18/02/2021;392,25;129,71;145,59;703,53;352,666;-0,4342%
19/02/2021;391,51;129,87;148,02;710,11;354,204;0,8778%
22/02/2021;388,53;126;149,41;703,14;351,122;-0,1081%
23/02/2021;388,94;125,86;150,61;703,16;351,502;-1,1040%
24/02/2021;393,21;125,35;153,26;712,1;355,426;2,4566%
25/02/2021;383,78;120,99;151,18;694,79;346,904;0,4663%
26/02/2021;381,77;121,26;147,17;694,5;345,294;-2,9828%
01/03/2021;391,03;127,79;150,5;719,2;355,91;0,6829%
02/03/2021;388,02;125,12;150,01;716,31;353,496;1,4545%
03/03/2021;382,84;122,06;152,91;701,49;348,428;1,8736%
04/03/2021;378,1;120,13;150,56;683,21;342,02;-1,9860%
05/03/2021;385,07;121,42;150,91;702,28;348,95;0,5846%
08/03/2021;383,19;116,36;152,91;698,96;346,922;-2,1153%
09/03/2021;388,59;121,085;151,83;722;354,419;-0,7535%
10/03/2021;390,97;119,98;155,13;728,5;357,11;-0,1582%
11/03/2021;394,99;121,96;154,32;722,12;357,676;0,2124%
12/03/2021;395,61;121,03;156,15;716,19;356,918;-0,5461%
15/03/2021;398,01;123,99;155,37;719,01;358,878;-0,1480%
16/03/2021;397,45;125,57;153,51;723,07;359,41;-0,4719%
17/03/2021;398,75;124,76;155,09;728,22;361,114;0,9957%
18/03/2021;392,93;120,53;157,65;723,73;357,554;-0,0782%
19/03/2021;392,2;119,99;155,14;729,64;357,834;-0,3736%
22/03/2021;395,3;123,39;150,97;730,92;359,176;1,2899%
23/03/2021;392,22;122,54;149,46;716,57;354,602;-0,0490%
24/03/2021;390,21;120,09;150,62;722,75;354,776;-0,5048%
25/03/2021;391,12;120,59;152,55;727,5;356,576;-2,4736%
26/03/2021;397,45;121,21;155,09;756,9;365,62;0,0914%
29/03/2021;397,25;121,39;152,68;757,86;365,286;0,5644%
30/03/2021;396,27;119,9;154,48;749,26;363,236;-0,4276%
31/03/2021;397,82;122,15;152,23;753,96;364,796;-1,2838%
01/04/2021;402,08;123;153,71;766,83;369,54;-1,6783%
05/04/2021;407,85;125,9;153,62;784,02;375,848;0,1909%
06/04/2021;407,6;126,21;152,54;781,71;375,132;-0,6036%
07/04/2021;408,11;127,9;154,93;788;377,41;-0,9994%
08/04/2021;410,01;130,36;155,12;800,6;381,22;-0,9090%
09/04/2021;412,98;132,995;156,28;808,35;384,717;0,1101%
12/04/2021;413,15;131,24;155,95;807,98;384,294;0,0906%
13/04/2021;414,36;134,43;154,09;802,49;383,946;0,4952%
14/04/2021;412,98;132,03;151,21;801,07;382,054;-1,4995%
15/04/2021;417,42;134,5;152,17;817,84;387,87;0,1373%
16/04/2021;418,89;134,16;153,3;811,45;387,338;0,2293%
19/04/2021;416,84;134,84;152,65;811,09;386,452;0,9034%
20/04/2021;413,81;133,11;149,27;804,96;382,992;-0,8271%
21/04/2021;417,68;133,5;150,54;811,53;386,186;1,4906%
22/04/2021;413,97;131,94;147,37;795,32;380,514;-1,6404%
23/04/2021;418,31;134,32;150,19;813,17;386,86;-0,4016%
26/04/2021;419,25;134,72;150,56;818,32;388,42;-0,1178%
27/04/2021;419,12;134,39;151,25;820,51;388,878;0,2258%
28/04/2021;418,96;133,58;152,23;816,28;388,002;-0,9800%
29/04/2021;421,61;133,48;155,19;827,32;391,842;0,8691%
30/04/2021;418,88;131,46;153,81;819,3;388,466;-0,4485%
03/05/2021;419,78;132,54;153,36;825,62;390,216;-0,1607%
04/05/2021;417,23;127,85;155,48;836,43;390,844;-0,8619%
05/05/2021;417,29;128,1;157,52;851,01;394,242;-1,3848%
06/05/2021;420,68;129,74;160,69;867,1;399,778;-0,6881%
07/05/2021;423,73;130,21;161,24;873,83;402,548;1,4108%
10/05/2021;419,61;126,85;161,22;857,45;396,948;1,2473%
11/05/2021;415,87;125,91;158,54;844,1;392,058;2,2220%
12/05/2021;406,98;122,77;157,45;823,5;383,536;-1,6110%
13/05/2021;411,81;124,97;161,5;838,99;389,816;-1,7932%
14/05/2021;418,17;127,45;164,01;856,87;396,934;0,5029%
17/05/2021;417,17;126,27;164,67;849,46;394,948;1,0356%
18/05/2021;413,58;124,85;162,35;840,14;390,9;0,2698%
19/05/2021;412,46;124,69;161,11;838,52;389,848;-0,8858%
20/05/2021;416,82;127,31;160,83;844,88;393,332;-0,7750%
21/05/2021;416,58;125,43;162,66;860,77;396,404;-1,1234%
24/05/2021;420,77;127,1;163,54;872,36;400,908;0,0899%
25/05/2021;419,86;126,9;161,85;874,27;400,548;-0,1958%
26/05/2021;420,63;126,85;161,83;876,73;401,334;-0,0543%
27/05/2021;420,85;125,28;164,35;876,43;401,552;-0,0712%
28/05/2021;421,65;124,61;164,24;877,04;401,838;-0,0343%
01/06/2021;421,32;124,28;166,05;876,91;401,976;-0,6279%
02/06/2021;422,02;125,06;166,06;887,42;404,516;0,5488%
03/06/2021;420,41;123,54;166,17;881,01;402,308;-0,7950%
04/06/2021;424,24;125,89;166,44;886,85;405,532;0,1670%
07/06/2021;423,88;125,9;165,66;884,96;404,856;0,0109%
08/06/2021;423,9;126,74;165;884,52;404,812;0,8274%
09/06/2021;423,22;127,13;162,94;870,94;401,49;0,2707%
10/06/2021;424,04;126,11;160,4;867,44;400,406;-0,7806%
11/06/2021;424,74;127,35;160,29;880,66;403,556;0,0709%
14/06/2021;425,76;130,48;157,57;876,78;403,27;0,0327%
15/06/2021;424,93;129,64;155,18;881,01;403,138;0,7377%
16/06/2021;422,58;130,15;156,27;869,35;400,186;0,1833%
17/06/2021;422,45;131,79;151,76;868,82;399,454;2,2825%
18/06/2021;416,77;130,46;147,92;840,78;390,54;-1,8393%
21/06/2021;422,65;132,3;150,43;861,26;397,858;-0,4494%
22/06/2021;424,66;133,98;150,21;864,76;399,654;-0,0395%
23/06/2021;424,41;133,7;151,12;865,42;399,812;-0,3956%
24/06/2021;426,87;133,41;152,51;867,34;401,4;-0,5485%
25/06/2021;428,44;133,11;154,05;874,03;403,614;-0,4184%
28/06/2021;429,35;134,78;154,33;878,74;405,31;0,1715%
29/06/2021;429,54;136,33;154,14;873,53;404,616;-0,2087%
30/06/2021;429,92;136,96;155,54;874,97;405,462;-0,5382%
01/07/2021;432,35;137,27;157,08;879,23;407,656;-1,0976%
02/07/2021;435,64;139,96;156,03;893,63;412,18;0,1813%
06/07/2021;434,53;142,02;153,41;892,68;411,434;-0,7023%
07/07/2021;436,31;144,57;153,59;900,94;414,344;1,7394%
08/07/2021;432,81;143,24;150,94;876,5;407,26;-1,9600%
09/07/2021;437,41;145,11;155,77;901,31;415,402;-0,9287%
12/07/2021;439,03;144,5;158;915,92;419,296;0,5824%
13/07/2021;437,49;145,64;155,65;908,07;416,868;1,1457%
14/07/2021;438,07;149,15;155,12;880,32;412,146;0,1774%
15/07/2021;436,57;148,48;155,46;880;411,416;0,8442%
16/07/2021;433,27;146,39;151,91;875,02;407,972;2,5994%
19/07/2021;426,8;142,45;146,97;845,16;397,636;-2,5727%
20/07/2021;432,99;146,15;149,71;878,84;408,136;-0,6456%
21/07/2021;436,5;145,4;152,86;882,68;410,788;0,7085%
22/07/2021;437,45;146,8;150,93;866,86;407,898;-0,5937%
23/07/2021;441,76;148,56;150,64;868,95;410,334;-0,3081%
26/07/2021;442,94;148,99;151,65;871,49;411,602;0,7870%
27/07/2021;440,92;146,77;151,45;861,88;408,388;0,1565%
28/07/2021;440,68;144,98;151,7;860,71;407,75;-0,7091%
29/07/2021;442,64;145,64;153;869,39;410,662;0,3764%
30/07/2021;440,4;145,86;151,78;867,17;409,122;-0,1640%
02/08/2021;439,51;145,52;151,17;873,26;409,794;-0,8483%
03/08/2021;443,02;147,36;152,89;880,21;413,3;0,2173%
04/08/2021;440,91;146,95;151,24;882,01;412,404;-0,7112%
05/08/2021;443,65;147,06;153,15;889,28;415,358;-0,5640%
06/08/2021;444,42;146,14;157,5;896,09;417,714;-0,2407%
09/08/2021;444,11;146,09;157,33;901,97;418,722;-0,6204%
10/08/2021;444,63;145,6;159,26;912,56;421,336;-0,4155%
11/08/2021;445,68;145,86;161,16;917,09;423,094;-0,3387%
12/08/2021;446,72;148,89;161,79;918,54;424,532;0,0481%
13/08/2021;447,85;149,1;159,98;916,86;424,328;-0,5298%
16/08/2021;449;151,12;158,93;924,89;426,588;1,1486%
17/08/2021;445,95;150,19;157,01;909,62;421,744;1,0829%
18/08/2021;441,14;146,36;155,58;901,91;417,226;-0,1058%
19/08/2021;441,79;146,7;154,28;903,78;417,668;-1,0594%
20/08/2021;445,31;148,19;154,72;917,17;422,14;-1,0292%
23/08/2021;449,19;149,71;156,7;927,86;426,53;-0,1765%
24/08/2021;449,97;149,62;157,67;929,19;427,284;-0,6603%
25/08/2021;450,91;148,36;160,92;939,52;430,124;0,4179%
26/08/2021;448,25;147,54;161,75;935,88;428,334;-1,3496%
27/08/2021;452,19;148,6;163,05;954,94;434,194;0,0429%
30/08/2021;454,2;153,12;160,44;948,08;434,008;0,3491%
31/08/2021;453,71;151,83;159,95;943,29;432,498;-0,0638%
01/09/2021;453,91;152,51;159,72;943,82;432,774;-0,5264%
02/09/2021;455,27;153,65;160,46;950,67;435,064;0,6529%
03/09/2021;455,07;154,3;159,49;937,28;432,242;0,6183%
07/09/2021;453,6;156,69;159,21;924,83;429,586;0,1856%
08/09/2021;453;155,11;158,5;924,34;428,79;0,3083%
09/09/2021;450,98;154,07;159,19;922,14;427,472;0,9126%
10/09/2021;447,54;148,97;157,36;916,62;423,606;-0,2261%
13/09/2021;448,58;149,55;159,86;916,26;424,566;1,1103%
14/09/2021;446,19;148,12;157,07;901,95;419,904;-0,8088%
15/09/2021;449,9;149,03;158,16;909,65;423,328;1,0117%
16/09/2021;449,06;148,79;158,09;890,44;419,088;1,2373%
17/09/2021;444,73;146,06;157,68;876,63;413,966;2,0812%
20/09/2021;437,23;142,94;152,96;857,27;405,526;0,5963%
21/09/2021;436,98;143,43;152,98;845,24;403,122;-0,9718%
22/09/2021;441,29;145,85;155,91;851,05;407,078;-2,0194%
23/09/2021;446,58;146,83;161,18;876,17;415,468;0,0617%
24/09/2021;445,74;146,92;163,04;874,62;415,212;-0,0212%
27/09/2021;444,34;145,37;166,98;875,47;415,3;1,8142%
28/09/2021;435,47;141,91;166,08;860,57;407,9;0,0839%
29/09/2021;436,22;142,83;165,95;856,57;407,558;1,6106%
30/09/2021;430,82;141,5;163,69;838,66;401,098;-0,8935%
01/10/2021;435,95;142,65;167,13;841,89;404,714;1,5731%
04/10/2021;430,29;139,14;166,95;825,56;398,446;-1,2843%
05/10/2021;434,8;141,11;168,66;838,78;403,63;-0,1840%
06/10/2021;436,65;142;169,02;837,55;404,374;-0,7072%
07/10/2021;440,27;143,29;170,09;842,35;407,254;-0,0241%
08/10/2021;439,62;142,9;170,22;844,4;407,352;0,7369%
11/10/2021;436,34;142,81;166,64;839,73;404,372;0,4132%
12/10/2021;435,24;141,51;165,36;836,19;402,708;-1,4565%
13/10/2021;436,79;140,91;161;867,81;408,66;-2,1539%
14/10/2021;444,27;143,76;163,47;892,51;417,656;-1,2199%
15/10/2021;447,68;144,84;166,61;907,26;422,814;0,3179%
18/10/2021;448,98;146,55;166,55;896,31;421,474;-0,7830%
19/10/2021;452,51;148,76;168,57;901,65;424,8;-0,3533%
20/10/2021;454,25;149,26;170,84;902,93;426,306;-0,0951%
21/10/2021;455,43;149,48;169,5;903,72;426,712;-0,5426%
22/10/2021;454,88;148,69;171,78;914,97;429,04;-0,6318%
25/10/2021;457,26;148,64;170,94;924,74;431,768;-0,4161%
26/10/2021;457,78;149,32;171,4;931,58;433,572;1,0455%
27/10/2021;455,74;148,85;167,83;917,27;429,086;-1,5248%
28/10/2021;460,12;152,57;170,36;935,48;435,73;-0,2965%
29/10/2021;460,99;149,8;169,89;943,46;437,026;0,2873%
01/11/2021;461,94;148,96;169,8;936,23;435,774;-0,7737%
02/11/2021;463,76;150,02;170,47;947,85;439,172;-0,5021%
03/11/2021;466,61;151,49;170,53;951,7;441,388;-0,1741%
04/11/2021;468,75;150,96;168,29;954,04;442,158;-0,2009%
05/11/2021;470,4;151,28;168,05;955,11;443,048;-0,5348%
08/11/2021;470,89;150,44;169,06;965,87;445,43;0,1488%
09/11/2021;469,25;150,81;167,78;966,75;444,768;0,8165%
10/11/2021;465,54;147,92;167,62;959,21;441,166;-0,3033%
11/11/2021;465,73;147,87;167,61;965,6;442,508;-0,6341%
12/11/2021;469,16;149,99;166,86;971,49;445,332;0,8287%
15/11/2021;469,28;150;166,56;953,24;441,672;0,0340%
16/11/2021;471,15;151;165,36;948,95;441,522;0,8234%
17/11/2021;470,04;153,49;164,47;931,54;437,916;0,1239%
18/11/2021;471,59;157,87;163,05;922,77;437,374;0,4045%
19/11/2021;470,82;160,55;160,92;914,95;435,612;-0,2501%
22/11/2021;469,41;161,02;164,35;919,33;436,704;-0,9849%
23/11/2021;470,06;161,41;168,28;935,43;441,048;0,1390%
24/11/2021;471,28;161,94;166,96;930,72;440,436;2,8278%
26/11/2021;460,62;156,81;161,93;901,64;428,324;-1,8717%
29/11/2021;466,5;160,24;161,23;928;436,494;1,7943%
30/11/2021;457,63;165,3;158,83;904,61;428,8;0,7722%
01/12/2021;452,29;164,77;157,89;900,33;425,514;-1,6080%
02/12/2021;459,26;163,76;161,21;918,85;432,468;1,5193%
03/12/2021;455,14;161,84;158,29;899,57;425,996;-0,6270%
06/12/2021;460,62;165,32;160,16;896,7;428,684;-2,3521%
07/12/2021;470,19;171,18;162,57;920,92;439,01;-0,3387%
08/12/2021;471,43;175,08;160,71;923,86;440,502;0,5437%
09/12/2021;468,25;174,56;160,46;919,08;438,12;-0,8738%
10/12/2021;472,74;179,45;159,82;925,16;441,982;1,1188%
13/12/2021;467,07;175,74;157,92;917,66;437,092;1,0206%
14/12/2021;463,77;174,33;159,13;902,38;432,676;-1,4078%
15/12/2021;471,06;179,3;157,94;914,91;438,854;0,3003%
16/12/2021;466,74;172,26;160,41;921,55;437,54;1,0163%
17/12/2021;462,11;171,14;156,76;913,57;433,138;1,4460%
20/12/2021;456,92;169,75;153,94;897,29;426,964;-1,6244%
21/12/2021;465,06;172,99;156,09;910,87;434,014;-0,6096%
22/12/2021;469,75;175,64;156,7;911,54;436,676;-0,4260%
23/12/2021;472,63;176,28;157,26;913,92;438,544;-1,2226%
27/12/2021;479,4;180,33;158,16;922,57;443,972;0,0924%
28/12/2021;479,03;179,29;158,64;921,82;443,562;0,5026%
29/12/2021;479,53;179,38;158,56;909,72;441,344;-0,0036%
30/12/2021;478,18;178,2;158,48;913,76;441,36;0,0608%
31/12/2021;476,99;177,57;158,35;915,56;441,092;-0,4361%
03/01/2022;479,84;182,01;161,7;911,73;443,024;-0,4042%
04/01/2022;479,68;179,7;167,83;917,22;444,822;2,4402%
05/01/2022;470,33;174,92;163,78;891,77;434,226;-0,0847%
06/01/2022;469,98;172;165,52;895,49;434,594;0,2385%
07/01/2022;468,1;172,17;167,16;892,27;433,56;0,9552%
10/01/2022;467,22;172,19;167,32;873,34;429,458;-1,2477%
11/01/2022;471,83;175,08;167,49;888,19;434,884;-0,0377%
12/01/2022;473,08;175,53;168,44;885,11;435,048;1,5907%
13/01/2022;466,59;172,19;168,23;867,58;428,236;1,3308%
14/01/2022;466,75;173,07;157,89;848,6;422,612;2,0767%
18/01/2022;458,5;169,8;151,27;832;414,014;1,0688%
19/01/2022;453,76;166,23;148,93;825,5;409,636;0,5903%
20/01/2022;448,72;164,51;147,66;826,55;407,232;2,4035%
21/01/2022;439,98;162,41;145,08;800,92;397,674;0,6041%
24/01/2022;441,52;161,62;144,95;786,82;395,286;-0,0662%
25/01/2022;436,44;159,78;146,53;798,55;395,548;0,1925%
26/01/2022;435,43;159,69;147,92;795,47;394,788;0,7724%
27/01/2022;433,16;159,22;145,31;787,96;391,762;-2,6717%
28/01/2022;443,75;170,33;146,61;808,14;402,516;-1,8187%
31/01/2022;451,77;174,78;148,6;822,94;409,972;-0,5642%
01/02/2022;454,89;174,61;151,15;825,95;412,298;-0,2574%
02/02/2022;459,26;175,84;149,94;822,51;413,362;2,0864%
03/02/2022;448,6;172,9;148,7;805,77;404,914;-0,5843%
04/02/2022;450,85;172,39;152,56;809,82;407,294;-0,1804%
07/02/2022;449,25;171,66;153,07;816,92;408,03;-0,1791%
08/02/2022;452,82;174,83;155,95;807,39;408,762;-1,0204%
09/02/2022;459,5;176,28;156,6;813;412,976;2,7805%
10/02/2022;451,38;172,12;155,95;778,19;401,804;1,4785%
11/02/2022;442,35;168,64;153,92;772,49;395,95;0,8276%
14/02/2022;440,91;168,88;152,49;760,31;392,7;-2,0552%
15/02/2022;448;172,79;154,72;781,19;400,94;-0,1638%
16/02/2022;448,51;172,55;155;783,42;401,598;2,3957%
17/02/2022;439,1;168,88;151,43;762,5;392,202;0,6885%
18/02/2022;436,07;167,3;152,14;756,02;389,52;1,2082%
22/02/2022;431,34;164,32;151,87;745,48;384,87;1,9140%
23/02/2022;423,48;160,07;148,69;732,49;377,642;-0,5870%
24/02/2022;430,14;162,74;144,55;731,79;379,872;-2,2415%
25/02/2022;439,61;164,85;147,97;750,87;388,582;0,7603%
28/02/2022;438,72;165,12;141,8;743,89;385,65;2,6593%
01/03/2022;431,92;163,2;136,45;714,81;375,66;-2,3489%
02/03/2022;439,8;166,56;139,28;738,04;384,696;0,3061%
03/03/2022;437,69;166,23;138,29;737,71;383,522;2,9833%
04/03/2022;433,95;163,17;134,4;696,59;372,412;2,9912%
07/03/2022;421,2;159,3;129,21;677,07;361,596;1,3027%
08/03/2022;418,06;157,44;128,3;662,87;356,946;-3,4373%
09/03/2022;429,31;162,95;133,44;693,25;369,652;0,3257%
10/03/2022;427,34;158,52;131,86;697,2;368,452;1,5198%
11/03/2022;422,01;154,73;128,89;687,04;362,936;-0,0705%
14/03/2022;418,82;150,62;130,17;697,53;363,192;-1,9100%
15/03/2022;428,04;155,09;132,48;707,67;370,264;-2,7740%
16/03/2022;437,52;159,59;138,4;731,11;380,828;-1,2181%
17/03/2022;442,96;160,62;140,15;740,93;385,524;-0,5392%
18/03/2022;447,7;163,98;140,1;738,59;387,614;0,2063%
21/03/2022;447,61;165,38;139,65;733,83;386,816;-1,5460%
22/03/2022;453,07;168,82;142,62;746,87;392,89;1,1961%
23/03/2022;447,39;170,21;139,78;736,46;388,246;-0,8443%
24/03/2022;452,36;174,07;140,69;738,28;391,552;-0,4677%
25/03/2022;454,64;174,72;141,92;741,04;393,392;-0,7593%
28/03/2022;457,83;175,6;140,87;749,88;396,402;-1,9157%
29/03/2022;463,67;178,96;141,18;773,24;404,144;0,1720%
30/03/2022;460,79;177,77;140,54;777,36;403,45;1,7539%
31/03/2022;453,69;174,61;136,32;764,17;396,496;-0,3258%
01/04/2022;454,79;174,31;135,31;769,76;397,792;-1,2521%
04/04/2022;458,8;178,44;135,91;782,23;402,836;1,7977%
05/04/2022;452,89;175,06;133,34;764,43;395,722;1,7003%
06/04/2022;448,49;171,83;131,49;745,23;389,106;-0,4100%
07/04/2022;450,71;172,14;131,09;748,89;390,708;0,7655%
08/04/2022;449,51;170,09;133,49;736,1;387,74;1,4702%
11/04/2022;441,74;165,75;133;728,38;382,122;0,7637%
12/04/2022;440,05;167,66;131,54;716,83;379,226;-0,4050%
13/04/2022;445,2;170,4;127,3;715,74;380,768;2,4132%
14/04/2022;439,7;165,29;126,12;688,17;371,796;0,3092%
18/04/2022;439,86;165,07;128,46;680;370,65;-2,1520%
19/04/2022;446,96;167,4;131,12;701,57;378,802;0,1629%
20/04/2022;446,56;167,23;131,58;699;378,186;1,7384%
21/04/2022;440,09;166,42;130,56;681,46;371,724;2,8510%
22/04/2022;427,78;161,79;126,81;662,94;361,42;-0,6416%
25/04/2022;430,42;162,88;126,77;668,28;363,754;3,1838%
26/04/2022;417,89;156,8;123,02;647,05;352,53;0,1898%
27/04/2022;419,15;156,57;121,42;643,02;351,862;-2,1143%
28/04/2022;429,68;163,64;123,34;650,97;359,462;3,9623%
29/04/2022;413,56;157,65;119,36;624,68;345,762;-0,3941%
02/05/2022;416,22;157,96;120,45;624,8;347,13;-0,8126%
03/05/2022;418,15;159,48;123,03;631,06;349,974;-3,8443%
04/05/2022;430,74;166,02;127,1;665,23;363,966;4,2644%
05/05/2022;415,45;156,77;123,92;633,81;349,08;0,5392%
06/05/2022;413,21;157,28;123,72;628,62;347,208;3,3776%
09/05/2022;399,92;152,06;121,86;605,56;335,864;-0,3400%
10/05/2022;400,71;154,51;118,89;610,23;337,01;1,8914%
11/05/2022;394,39;146,5;118,14;600,35;330,754;0,3124%
12/05/2022;393,81;142,56;118,04;600,4;329,724;-2,3532%
13/05/2022;403,41;147,11;119,09;615,33;337,67;1,3525%
16/05/2022;401,71;145,54;118,26;598,6;333,164;-2,1947%
17/05/2022;410,03;149,24;122,18;611,72;340,64;3,8606%
18/05/2022;393,56;140,82;120,09;591,86;327,978;0,5488%
19/05/2022;391,1;137,35;118,31;593,08;326,188;-0,4292%
20/05/2022;391,3;137,59;117,34;600,44;327,594;-2,2947%
23/05/2022;398,61;143,11;124,6;611,51;335,288;-0,0078%
24/05/2022;395,75;140,36;126,36;618,35;335,314;-0,9623%
25/05/2022;399,25;140,52;127,24;626,6;338,572;-2,6969%
26/05/2022;407,06;143,78;129,44;652,44;347,956;-2,3660%
27/05/2022;417,25;149,64;131,27;666,53;356,388;0,1152%
31/05/2022;414,87;148,84;132,23;669,08;355,978;1,0067%
01/06/2022;411,51;148,71;129,91;660,51;352,43;-2,5478%
02/06/2022;419,26;151,21;132;686,49;361,644;2,0417%
03/06/2022;412,38;145,38;130,16;671,74;354,408;-0,3604%
06/06/2022;413,62;146,14;129,73;675,34;355,69;-0,8286%
07/06/2022;417,46;148,71;130,07;679,61;358,662;1,6472%
08/06/2022;412,94;147,96;128;662,41;352,85;1,8749%
09/06/2022;401,99;142,64;125,31;659,85;346,356;4,6639%
10/06/2022;390,13;137,13;119,55;617,67;330,922;3,6171%
13/06/2022;375,13;131,88;115,99;598,72;319,37;0,6644%
14/06/2022;374,13;132,76;114,06;591,23;317,262;-1,4506%
15/06/2022;379,46;135,43;115,41;599,9;321,932;2,9695%
16/06/2022;366,99;130,06;113,43;585,77;312,648;0,0685%
17/06/2022;367,66;131,56;113,03;582,26;312,434;-3,5852%
21/06/2022;377,01;135,87;115,83;614,54;324,052;0,4794%
22/06/2022;376,36;135,35;115,18;609,28;322,506;-1,5044%
23/06/2022;380,13;138,27;113,92;624,71;327,432;-3,1702%
24/06/2022;392;141,66;117,32;647,78;338,152;0,8734%
27/06/2022;390,58;141,66;116,38;636,92;335,224;1,7310%
28/06/2022;382,61;137,44;115,82;629,12;329,52;0,6371%
29/06/2022;382,34;139,23;115,3;617,96;327,434;1,2680%
30/06/2022;379,15;136,72;112,61;609,04;323,334;-1,1731%
01/07/2022;383,09;138,93;114,05;616,7;327,172;-0,4176%
05/07/2022;383,91;141,56;112,62;620,72;328,544;0,1591%
06/07/2022;385,28;142,92;111,89;614,74;328,022;-1,5983%
07/07/2022;390,99;146,35;114,72;623,7;333,35;0,2665%
08/07/2022;390,68;147,04;114,36;619,56;332,464;1,6591%
11/07/2022;386,23;144,87;112,86;605;327,038;0,4639%
12/07/2022;382,76;145,86;112,97;603,29;325,528;0,7590%
13/07/2022;380,8;145,49;111,91;596,38;323,076;0,6555%
14/07/2022;379,88;148,47;108;588,63;320,972;-2,0082%
15/07/2022;387,13;150,17;112,95;600,37;327,55;0,8225%
18/07/2022;384;147,07;111,79;597,53;324,878;-3,4561%
19/07/2022;394,32;151;114,56;628,34;336,508;-0,7837%
20/07/2022;396,76;153,04;114,54;634,73;339,166;-0,9214%
21/07/2022;400,81;155,35;115,32;639,31;342,32;0,8621%
22/07/2022;397,24;154,09;114,76;633,64;339,394;-0,1559%
25/07/2022;397,65;152,95;115,22;636,15;339,924;1,5414%
26/07/2022;392,93;151,6;113,42;622,94;334,764;-2,7714%
27/07/2022;403,09;156,79;115,24;643,32;344,306;-1,5458%
28/07/2022;408,21;157,35;114,81;659,98;349,712;-1,5234%
29/07/2022;414,28;162,51;115,36;669,18;355,122;0,1466%
01/08/2022;412,95;161,51;114,21;671,39;354,602;0,7827%
02/08/2022;410,32;160,01;112,43;666,16;351,848;-2,4660%
03/08/2022;416,72;166,13;113,61;690,54;360,744;-0,1716%
04/08/2022;416,32;165,81;112,36;696,01;361,364;-0,0774%
05/08/2022;415,59;165,35;115,76;695,93;361,644;0,1257%
08/08/2022;415,23;164,87;114,35;696,27;361,19;0,1197%
09/08/2022;413,49;164,92;115,38;696,51;360,758;-2,8727%
10/08/2022;422,15;169,24;118,39;725,21;371,428;-0,2546%
11/08/2022;422,3;168,49;120,14;728,65;372,376;-2,2409%
12/08/2022;429,25;172,1;122,13;751,83;380,912;-0,4802%
15/08/2022;431,14;173,19;122,46;755,82;382,75;-0,2117%
16/08/2022;432,04;173,03;123,63;757,07;383,562;1,0469%
17/08/2022;428,79;174,55;122,59;743,22;379,588;-0,1667%
18/08/2022;430,05;174,15;121,64;745,22;380,222;2,6118%
19/08/2022;424,36;171,52;118,63;713,85;370,544;2,3483%
